,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineDenominator,DisciplineNumerator,DisciplineRate,DistrictCode_y,Expenditure
63,Spokane,32360.0,Cheney School District,1769.0,Three Springs High School,A,12th Grade,11.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,2.0,2.0,0.0,11.0,11.0,9.0,8.0,4.0,11.0,15.0,2.0,1.0,1.0,2.0,3.0,2.0,15.0,6.0,2.0,7.0,0.4,Count Suppressed,Count Suppressed,<10%,32360.0,706439.7
64,Stevens,33036.0,Chewelah School District,1763.0,Quartzite Learning,A,12th Grade,16.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,4.0,0.0,0.0,16.0,16.0,16.0,14.0,8.0,16.0,21.0,6.0,,,1.0,1.0,2.0,25.0,14.0,9.0,2.0,0.56,Count Suppressed,Count Suppressed,<10%,33036.0,1057568.0
65,Pierce,27901.0,Chief Leschi Schools,5549.0,Chief Leschi Schools,Q,12th Grade,43.0,21.0,0.0,22.0,37.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,9.0,43.0,43.0,43.0,43.0,43.0,43.0,33.0,4.0,,,,7.0,3.0,34.0,24.0,3.0,7.0,0.7059,Count Suppressed,Count Suppressed,<7%,27901.0,5982052.4
66,Jefferson,16049.0,Chimacum School District,3275.0,Chimacum Junior/Senior High School,P,12th Grade,75.0,46.0,0.0,29.0,1.0,2.0,2.0,5.0,0.0,6.0,59.0,3.0,0.0,9.0,1.0,25.0,0.0,1.0,4.0,6.0,9.0,72.0,75.0,66.0,74.0,50.0,75.0,77.0,12.0,,,3.0,2.0,11.0,78.0,71.0,2.0,5.0,0.9103,83,6,7.20%,16049.0,4018224.5
67,Asotin,2250.0,Clarkston School District,2299.0,Charles Francis Adams High School,P,12th Grade,159.0,82.0,0.0,77.0,2.0,2.0,6.0,15.0,1.0,6.0,127.0,3.0,0.0,11.0,11.0,58.0,0.0,1.0,10.0,10.0,18.0,156.0,157.0,148.0,148.0,101.0,159.0,149.0,36.0,,2.0,3.0,6.0,29.0,156.0,142.0,3.0,11.0,0.9103,Count Suppressed,Count Suppressed,<2%,2250.0,10099030.5
68,Asotin,2250.0,Clarkston School District,1617.0,Educational Opportunity Center,A,12th Grade,42.0,19.0,0.0,23.0,1.0,1.0,2.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,18.0,0.0,8.0,42.0,42.0,42.0,41.0,18.0,42.0,27.0,9.0,,1.0,2.0,9.0,4.0,32.0,14.0,6.0,12.0,0.4375,Count Suppressed,Count Suppressed,<4%,2250.0,1142247.0
69,,,,2501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,2250.0,7053877.6
70,Asotin,2250.0,Clarkston School District,3616.0,Special Services,S,12th Grade,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,Suppressed: N<10,2250.0,147373.2
71,Kittitas,19404.0,Cle Elum-Roslyn School District,2329.0,Cle Elum Roslyn High School,P,12th Grade,52.0,22.0,0.0,30.0,0.0,2.0,0.0,5.0,0.0,1.0,44.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,1.0,7.0,52.0,51.0,52.0,51.0,41.0,52.0,55.0,5.0,1.0,1.0,,1.0,10.0,50.0,46.0,1.0,3.0,0.92,Count Suppressed,Count Suppressed,<6%,19404.0,3528355.3
72,Kittitas,19404.0,Cle Elum-Roslyn School District,1987.0,Swiftwater Alternative High School,A,12th Grade,18.0,10.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,6.0,0.0,2.0,18.0,16.0,18.0,15.0,5.0,18.0,10.0,,,,,2.0,0.0,10.0,8.0,0.0,2.0,0.8,Count Suppressed,Count Suppressed,<10%,19404.0,379643.6
73,Pierce,27400.0,Clover Park School District,2425.0,Clover Park High School,P,12th Grade,265.0,150.0,0.0,115.0,1.0,20.0,45.0,98.0,29.0,29.0,43.0,31.0,0.0,0.0,9.0,206.0,0.0,17.0,24.0,1.0,34.0,234.0,264.0,265.0,256.0,59.0,265.0,282.0,94.0,8.0,9.0,21.0,13.0,76.0,300.0,222.0,27.0,51.0,0.74,297,13,4.40%,27400.0,19572739.7
74,Pierce,27400.0,Clover Park School District,5411.0,CPSD Open Doors Program,R,12th Grade,80.0,38.0,0.0,42.0,1.0,1.0,10.0,33.0,3.0,11.0,21.0,10.0,0.0,1.0,3.0,58.0,0.0,8.0,37.0,2.0,6.0,70.0,80.0,79.0,77.0,22.0,80.0,100.0,34.0,,2.0,14.0,40.0,8.0,126.0,8.0,62.0,56.0,0.0635,Count Suppressed,Count Suppressed,<3%,27400.0,1871995.5
75,Pierce,27400.0,Clover Park School District,3456.0,Lakes High School,P,12th Grade,263.0,127.0,0.0,136.0,1.0,17.0,32.0,52.0,9.0,37.0,114.0,14.0,0.0,1.0,12.0,117.0,0.0,58.0,15.0,4.0,16.0,249.0,259.0,262.0,251.0,146.0,263.0,326.0,127.0,3.0,3.0,3.0,8.0,173.0,280.0,233.0,30.0,17.0,0.8321,Count Suppressed,Count Suppressed,4.30%,27400.0,19438639.3
76,Pierce,27400.0,Clover Park School District,5298.0,Oakridge Group Home,I,12th Grade,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,,,,,,3.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,<10%,27400.0,12228.7
77,Pierce,27400.0,Clover Park School District,5297.0,Transition Day Students,P,12th Grade,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,Suppressed: N<10,27400.0,31713.3
78,Whitman,38300.0,Colfax School District,3366.0,Colfax High School,P,12th Grade,40.0,20.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,4.0,34.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,7.0,40.0,39.0,40.0,40.0,26.0,40.0,48.0,3.0,,2.0,,,9.0,42.0,39.0,1.0,2.0,0.9286,Count Suppressed,Count Suppressed,<7%,38300.0,4234080.2
79,Walla Walla,36250.0,College Place School District,5362.0,College Place High School,P,12th Grade,96.0,40.0,0.0,56.0,0.0,0.0,0.0,32.0,1.0,3.0,60.0,9.0,0.0,9.0,2.0,42.0,3.0,1.0,3.0,3.0,7.0,87.0,96.0,87.0,94.0,54.0,93.0,89.0,19.0,,,,2.0,17.0,91.0,84.0,5.0,2.0,0.9231,Count Suppressed,Count Suppressed,<3%,36250.0,5977096.2
80,Walla Walla,36400.0,Columbia (Walla Walla) School District,4049.0,Columbia High School,P,12th Grade,46.0,16.0,0.0,30.0,0.0,0.0,0.0,14.0,0.0,2.0,30.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,9.0,45.0,46.0,46.0,46.0,26.0,45.0,53.0,11.0,3.0,1.0,4.0,2.0,5.0,59.0,42.0,7.0,10.0,0.7119,Count Suppressed,Count Suppressed,<6%,36400.0,3865673.0
81,Stevens,33115.0,Colville School District,3310.0,Colville Senior High School,P,12th Grade,140.0,70.0,0.0,70.0,2.0,1.0,1.0,3.0,0.0,12.0,121.0,1.0,0.0,2.0,1.0,57.0,0.0,4.0,5.0,4.0,20.0,139.0,139.0,138.0,139.0,83.0,140.0,135.0,19.0,,,1.0,5.0,16.0,138.0,126.0,6.0,6.0,0.913,Count Suppressed,Count Suppressed,<2%,33115.0,7897083.3
82,Stevens,33115.0,Colville School District,1594.0,Panorama School,A,12th Grade,20.0,9.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,3.0,14.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,2.0,20.0,20.0,20.0,19.0,7.0,20.0,14.0,8.0,,,2.0,5.0,6.0,16.0,8.0,1.0,7.0,0.5,Count Suppressed,Count Suppressed,<10%,33115.0,973136.1
83,Skagit,29011.0,Concrete School District,2810.0,Concrete High School,P,12th Grade,38.0,13.0,0.0,25.0,0.0,0.0,0.0,4.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,1.0,7.0,38.0,38.0,38.0,37.0,18.0,38.0,33.0,1.0,,,1.0,5.0,1.0,33.0,25.0,2.0,6.0,0.7576,Count Suppressed,Count Suppressed,<8%,29011.0,4081621.6
84,Skagit,29011.0,Concrete School District,1605.0,Twin Cedars High School,A,12th Grade,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,6.0,6.0,6.0,6.0,1.0,6.0,8.0,3.0,,1.0,2.0,2.0,1.0,10.0,2.0,3.0,5.0,0.2,Count Suppressed,Count Suppressed,<10%,29011.0,143141.7
85,Island,15204.0,Coupeville School District,2625.0,Coupeville High School,P,12th Grade,66.0,27.0,0.0,39.0,0.0,1.0,1.0,8.0,0.0,8.0,48.0,1.0,0.0,0.0,8.0,23.0,1.0,3.0,2.0,4.0,13.0,65.0,66.0,66.0,58.0,43.0,65.0,64.0,13.0,,,,1.0,12.0,65.0,61.0,3.0,1.0,0.9385,Count Suppressed,Count Suppressed,<4%,15204.0,5300802.8
86,Clallam,5313.0,Crescent School District,3473.0,Crescent School,P,12th Grade,17.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,17.0,17.0,17.0,17.0,9.0,17.0,17.0,5.0,1.0,,,2.0,4.0,18.0,15.0,0.0,3.0,0.8333,Count Suppressed,Count Suppressed,<10%,5313.0,3785294.1
87,Ferry,10050.0,Curlew School District,2006.0,Curlew Elem & High School,P,12th Grade,25.0,8.0,0.0,17.0,1.0,0.0,2.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,5.0,0.0,3.0,25.0,24.0,25.0,21.0,13.0,25.0,41.0,23.0,,,8.0,23.0,4.0,60.0,15.0,14.0,31.0,0.25,Count Suppressed,Count Suppressed,<10%,10050.0,3213277.6
88,Pend Oreille,26059.0,Cusick School District,2423.0,Cusick Jr Sr High School,P,12th Grade,17.0,9.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,1.0,3.0,17.0,17.0,17.0,15.0,9.0,17.0,13.0,6.0,,,,,6.0,13.0,11.0,2.0,0.0,0.8462,Count Suppressed,Count Suppressed,<10%,26059.0,2265521.8
89,Pend Oreille,26059.0,Cusick School District,5538.0,Home Pride,5,12th Grade,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,2.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,Suppressed: N<10,26059.0,96808.5
90,Snohomish,31330.0,Darrington School District,3188.0,Darrington High School,P,12th Grade,34.0,12.0,0.0,22.0,4.0,2.0,1.0,1.0,0.0,4.0,22.0,0.0,0.0,1.0,4.0,18.0,0.0,0.0,2.0,5.0,4.0,34.0,34.0,33.0,30.0,16.0,34.0,31.0,4.0,,,1.0,3.0,4.0,31.0,25.0,2.0,4.0,0.8065,Count Suppressed,Count Suppressed,<9%,31330.0,2891763.5
91,Lincoln,22207.0,Davenport School District,3173.0,Davenport Senior High School,P,12th Grade,46.0,28.0,0.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,2.0,27.0,0.0,1.0,0.0,1.0,7.0,46.0,46.0,46.0,44.0,19.0,46.0,46.0,7.0,,,,,5.0,48.0,45.0,3.0,0.0,0.9375,Count Suppressed,Count Suppressed,<7%,22207.0,4675085.2
92,Columbia,7002.0,Dayton School District,2302.0,Dayton High School,P,12th Grade,28.0,15.0,0.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,1.0,28.0,28.0,28.0,27.0,18.0,28.0,29.0,7.0,,,,,5.0,31.0,26.0,5.0,0.0,0.8387,Count Suppressed,Count Suppressed,<10%,7002.0,2621473.8
93,Spokane,32414.0,Deer Park School District,4123.0,Deer Park High School,P,12th Grade,158.0,74.0,0.0,84.0,5.0,0.0,2.0,8.0,0.0,4.0,139.0,0.0,0.0,8.0,8.0,76.0,0.0,1.0,10.0,10.0,24.0,158.0,155.0,150.0,150.0,82.0,158.0,163.0,20.0,,1.0,1.0,8.0,17.0,166.0,151.0,5.0,10.0,0.9096,Count Suppressed,Count Suppressed,<2%,32414.0,8254860.0
94,Spokane,32361.0,East Valley School District (Spokane),3360.0,East Valley High School,P,12th Grade,277.0,138.0,0.0,139.0,3.0,1.0,1.0,41.0,0.0,11.0,220.0,6.0,0.0,6.0,12.0,129.0,0.0,0.0,20.0,15.0,56.0,271.0,276.0,271.0,265.0,148.0,277.0,241.0,44.0,3.0,3.0,8.0,21.0,32.0,253.0,204.0,14.0,35.0,0.8063,296,20,6.80%,32361.0,14691248.4
95,Spokane,32361.0,East Valley School District (Spokane),5432.0,EV Online,A,12th Grade,13.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,1.0,0.0,13.0,13.0,13.0,13.0,7.0,13.0,24.0,4.0,,,3.0,9.0,6.0,22.0,8.0,2.0,12.0,0.3636,Count Suppressed,Count Suppressed,<10%,32361.0,748791.7
96,Spokane,32361.0,East Valley School District (Spokane),5433.0,EV Parent Partnership,5,12th Grade,11.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,11.0,11.0,11.0,11.0,4.0,11.0,11.0,6.0,,,,1.0,7.0,10.0,8.0,1.0,1.0,0.8,Count Suppressed,Count Suppressed,<10%,32361.0,1864972.8
97,Yakima,39090.0,East Valley School District (Yakima),2344.0,East Valley High School,P,12th Grade,224.0,101.0,0.0,123.0,1.0,2.0,1.0,89.0,0.0,2.0,129.0,12.0,0.0,0.0,8.0,105.0,14.0,0.0,11.0,8.0,30.0,212.0,224.0,224.0,216.0,119.0,210.0,217.0,20.0,1.0,2.0,5.0,8.0,12.0,225.0,199.0,10.0,16.0,0.8844,236,14,5.90%,39090.0,11206092.3
98,Douglas,9206.0,Eastmont School District,2727.0,Eastmont Senior High,P,12th Grade,523.0,243.0,0.0,280.0,1.0,11.0,4.0,234.0,2.0,12.0,259.0,48.0,0.0,13.0,26.0,276.0,64.0,2.0,35.0,19.0,53.0,475.0,521.0,510.0,497.0,247.0,459.0,451.0,53.0,1.0,5.0,12.0,42.0,20.0,484.0,407.0,17.0,60.0,0.8409,540,18,3.30%,9206.0,18380167.5
99,Pierce,27404.0,Eatonville School District,2206.0,Eatonville High School,P,12th Grade,144.0,74.0,0.0,70.0,1.0,0.0,1.0,13.0,0.0,11.0,118.0,0.0,0.0,0.0,8.0,57.0,0.0,2.0,3.0,8.0,14.0,144.0,141.0,144.0,136.0,87.0,144.0,154.0,15.0,1.0,,2.0,1.0,27.0,142.0,132.0,6.0,4.0,0.9296,Count Suppressed,Count Suppressed,<2%,27404.0,7204173.1
100,Pierce,27404.0,Eatonville School District,5332.0,ESD New Beginnings,R,12th Grade,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,5.0,14.0,2.0,,1.0,2.0,2.0,1.0,15.0,3.0,7.0,5.0,0.2,Count Suppressed,Count Suppressed,Suppressed: N<10,27404.0,71365.9
101,Snohomish,31015.0,Edmonds School District,1519.0,Edmonds eLearning Academy,A,12th Grade,31.0,15.0,0.0,16.0,0.0,2.0,4.0,5.0,1.0,2.0,17.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,4.0,4.0,30.0,31.0,31.0,31.0,20.0,31.0,51.0,7.0,3.0,4.0,6.0,20.0,3.0,55.0,10.0,12.0,33.0,0.1818,Count Suppressed,Count Suppressed,<6%,31015.0,2772899.4
102,Snohomish,31015.0,Edmonds School District,1966.0,Edmonds Heights K-12,A,12th Grade,55.0,31.0,0.0,24.0,0.0,3.0,0.0,1.0,0.0,8.0,43.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,3.0,55.0,55.0,55.0,55.0,49.0,55.0,57.0,13.0,,,1.0,2.0,14.0,56.0,43.0,10.0,3.0,0.7679,Count Suppressed,Count Suppressed,<5%,31015.0,6321022.4
103,Snohomish,31015.0,Edmonds School District,3123.0,Edmonds Woodway High School,P,12th Grade,373.0,190.0,0.0,183.0,1.0,62.0,26.0,58.0,1.0,28.0,197.0,18.0,0.0,62.0,6.0,107.0,0.0,0.0,9.0,35.0,43.0,355.0,372.0,311.0,367.0,266.0,373.0,367.0,51.0,1.0,4.0,5.0,10.0,25.0,393.0,346.0,27.0,20.0,0.8804,Count Suppressed,Count Suppressed,<1%,31015.0,22867921.4
104,Snohomish,31015.0,Edmonds School District,3755.0,Lynnwood High School,P,12th Grade,336.0,165.0,1.0,170.0,0.0,81.0,25.0,85.0,1.0,18.0,126.0,39.0,0.0,1.0,6.0,153.0,1.0,1.0,8.0,20.0,57.0,297.0,336.0,335.0,330.0,183.0,335.0,319.0,51.0,,2.0,6.0,23.0,24.0,346.0,281.0,34.0,31.0,0.8121,359,13,3.60%,31015.0,19843749.7
105,Snohomish,31015.0,Edmonds School District,3464.0,Meadowdale High School,P,12th Grade,348.0,163.0,0.0,185.0,0.0,60.0,21.0,66.0,4.0,26.0,171.0,30.0,0.0,3.0,7.0,117.0,0.0,2.0,10.0,22.0,19.0,318.0,348.0,345.0,341.0,231.0,348.0,342.0,50.0,2.0,2.0,6.0,10.0,26.0,366.0,324.0,22.0,20.0,0.8852,377,6,1.60%,31015.0,19816753.5
106,Snohomish,31015.0,Edmonds School District,3303.0,Mountlake Terrace High School,P,12th Grade,313.0,146.0,0.0,167.0,0.0,45.0,12.0,38.0,1.0,35.0,182.0,20.0,0.0,22.0,3.0,92.0,0.0,2.0,12.0,28.0,31.0,293.0,311.0,291.0,310.0,221.0,313.0,298.0,33.0,,3.0,1.0,7.0,20.0,311.0,288.0,12.0,11.0,0.926,326,7,2.10%,31015.0,19167083.0
107,Snohomish,31015.0,Edmonds School District,3854.0,Scriber Lake High School,A,12th Grade,107.0,43.0,1.0,63.0,0.0,8.0,6.0,21.0,3.0,12.0,57.0,7.0,0.0,0.0,8.0,60.0,0.0,0.0,23.0,9.0,47.0,100.0,107.0,107.0,99.0,47.0,107.0,68.0,3.0,,2.0,5.0,16.0,7.0,64.0,25.0,16.0,23.0,0.3906,126,7,5.60%,31015.0,5495243.5
108,,,,1558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,31015.0,74131.2
109,Kittitas,19401.0,Ellensburg School District,2996.0,Ellensburg High School,P,12th Grade,244.0,128.0,0.0,116.0,0.0,3.0,0.0,36.0,2.0,9.0,194.0,15.0,0.0,9.0,1.0,84.0,1.0,1.0,6.0,10.0,30.0,229.0,244.0,235.0,243.0,160.0,243.0,238.0,29.0,1.0,1.0,2.0,5.0,27.0,240.0,225.0,6.0,9.0,0.9375,251,10,4.00%,19401.0,12703442.7
110,Kittitas,19401.0,Ellensburg School District,5097.0,K-12 Ellensburg Learning Center,A,12th Grade,15.0,8.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,1.0,1.0,14.0,15.0,15.0,15.0,4.0,14.0,14.0,,,,,1.0,2.0,12.0,7.0,4.0,1.0,0.5833,Count Suppressed,Count Suppressed,<10%,19401.0,469213.3
111,Grays Harbor,14068.0,Elma School District,2137.0,Elma High School,P,12th Grade,97.0,46.0,0.0,51.0,1.0,0.0,0.0,14.0,0.0,10.0,72.0,2.0,0.0,5.0,1.0,72.0,1.0,0.0,6.0,8.0,20.0,95.0,97.0,92.0,96.0,25.0,96.0,86.0,11.0,,2.0,1.0,2.0,12.0,85.0,75.0,5.0,5.0,0.8824,101,4,4.00%,14068.0,7926487.9
112,Chelan,4127.0,Entiat School District,3317.0,Entiat Middle and High School,P,12th Grade,26.0,9.0,0.0,17.0,0.0,2.0,0.0,8.0,1.0,2.0,13.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,4.0,23.0,26.0,26.0,26.0,9.0,26.0,21.0,2.0,,,,4.0,1.0,22.0,18.0,0.0,4.0,0.8182,Count Suppressed,Count Suppressed,<10%,4127.0,2697459.4
113,King,17216.0,Enumclaw School District,3330.0,Enumclaw Sr High School,P,12th Grade,344.0,165.0,0.0,179.0,2.0,1.0,2.0,49.0,0.0,16.0,274.0,7.0,0.0,0.0,6.0,88.0,1.0,1.0,17.0,16.0,47.0,337.0,344.0,344.0,338.0,256.0,343.0,337.0,22.0,4.0,9.0,7.0,23.0,15.0,344.0,288.0,13.0,43.0,0.8372,357,6,1.70%,17216.0,16737527.5
114,Grant,13165.0,Ephrata School District,2920.0,Ephrata High School,P,12th Grade,198.0,95.0,0.0,103.0,0.0,1.0,0.0,63.0,0.0,1.0,133.0,14.0,0.0,10.0,13.0,109.0,7.0,0.0,14.0,10.0,14.0,184.0,197.0,188.0,185.0,89.0,191.0,192.0,27.0,,1.0,2.0,3.0,30.0,189.0,180.0,3.0,6.0,0.9524,212,8,3.80%,13165.0,9972367.3
115,Snohomish,31002.0,Everett School District,3407.0,Cascade High School,P,12th Grade,444.0,195.0,0.0,249.0,4.0,72.0,17.0,83.0,8.0,21.0,239.0,36.0,0.0,18.0,17.0,110.0,1.0,0.0,17.0,34.0,72.0,408.0,444.0,426.0,427.0,334.0,443.0,397.0,46.0,,2.0,2.0,6.0,40.0,403.0,382.0,11.0,10.0,0.9479,466,15,3.20%,31002.0,23698669.1
116,Snohomish,31002.0,Everett School District,2126.0,Everett High School,P,12th Grade,341.0,171.0,0.0,170.0,2.0,31.0,14.0,62.0,8.0,16.0,208.0,31.0,0.0,9.0,26.0,64.0,1.0,0.0,31.0,21.0,61.0,310.0,339.0,332.0,315.0,277.0,340.0,305.0,46.0,1.0,1.0,1.0,2.0,58.0,293.0,287.0,1.0,5.0,0.9795,358,8,2.20%,31002.0,20569874.8
117,Snohomish,31002.0,Everett School District,5330.0,Everett Reengagement Academy,R,12th Grade,60.0,28.0,0.0,32.0,0.0,4.0,3.0,15.0,0.0,4.0,34.0,2.0,0.0,0.0,6.0,28.0,0.0,0.0,20.0,4.0,9.0,58.0,60.0,60.0,54.0,32.0,60.0,82.0,8.0,,1.0,9.0,15.0,0.0,90.0,27.0,38.0,25.0,0.3,Count Suppressed,Count Suppressed,<2%,31002.0,222260.8
118,Snohomish,31002.0,Everett School District,4438.0,Henry M. Jackson High School,P,12th Grade,544.0,276.0,0.0,268.0,3.0,124.0,21.0,63.0,0.0,37.0,296.0,25.0,0.0,50.0,14.0,50.0,0.0,0.0,16.0,60.0,46.0,519.0,543.0,494.0,530.0,494.0,544.0,525.0,44.0,,,1.0,,49.0,520.0,514.0,5.0,1.0,0.9885,552,11,2.00%,31002.0,28484795.1
119,Snohomish,31002.0,Everett School District,1907.0,Port Gardner,A,12th Grade,14.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,14.0,14.0,13.0,14.0,4.0,12.0,,,,,16.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,<10%,31002.0,1154050.0
120,Snohomish,31002.0,Everett School District,4137.0,Sequoia High School,A,12th Grade,75.0,45.0,0.0,30.0,0.0,3.0,4.0,20.0,1.0,9.0,38.0,5.0,0.0,0.0,18.0,34.0,2.0,0.0,18.0,2.0,12.0,70.0,74.0,75.0,57.0,41.0,73.0,68.0,11.0,,2.0,6.0,7.0,8.0,71.0,52.0,4.0,15.0,0.7324,115,6,5.20%,31002.0,5879560.3
121,Clark,6114.0,Evergreen School District (Clark),2724.0,Evergreen High School,P,12th Grade,438.0,233.0,1.0,204.0,3.0,23.0,9.0,102.0,14.0,33.0,254.0,33.0,0.0,19.0,33.0,245.0,0.0,0.0,25.0,21.0,63.0,405.0,436.0,419.0,405.0,193.0,438.0,395.0,104.0,,3.0,10.0,18.0,81.0,418.0,363.0,24.0,31.0,0.8684,457,19,4.20%,6114.0,21960201.0
122,Clark,6114.0,Evergreen School District (Clark),4523.0,Heritage High School,P,12th Grade,468.0,242.0,1.0,225.0,5.0,19.0,11.0,114.0,14.0,18.0,287.0,35.0,0.0,14.0,32.0,258.0,0.0,1.0,23.0,21.0,65.0,433.0,465.0,454.0,436.0,210.0,468.0,433.0,62.0,1.0,2.0,7.0,35.0,48.0,447.0,394.0,8.0,45.0,0.8814,482,16,3.30%,6114.0,21147533.4
123,Clark,6114.0,Evergreen School District (Clark),4042.0,Legacy High School,A,12th Grade,84.0,43.0,0.0,41.0,1.0,1.0,3.0,16.0,1.0,4.0,58.0,3.0,0.0,0.0,13.0,44.0,0.0,0.0,19.0,9.0,16.0,81.0,84.0,84.0,71.0,40.0,84.0,81.0,9.0,,1.0,12.0,7.0,2.0,88.0,61.0,7.0,20.0,0.6932,125,3,2.40%,6114.0,4530610.4
124,Clark,6114.0,Evergreen School District (Clark),4162.0,Mountain View High School,P,12th Grade,509.0,233.0,0.0,276.0,5.0,43.0,19.0,133.0,4.0,44.0,261.0,35.0,0.0,39.0,15.0,206.0,3.0,1.0,13.0,21.0,61.0,474.0,508.0,470.0,494.0,303.0,506.0,460.0,105.0,,3.0,2.0,6.0,76.0,489.0,471.0,7.0,11.0,0.9632,530,10,1.90%,6114.0,21623688.2
